Filer_ID,Filer_NamL,Report_Num,Committee_Type,Rpt_Date,From_Date,Thru_Date,Elect_Date,tblCover_Office_Cd,tblCover_Offic_Dscr,Rec_Type,Form_Type,Tran_ID,Entity_Cd,Payee_NamL,Payee_NamF,Payee_NamT,Payee_NamS,Payee_Adr1,Payee_Adr2,Payee_City,Payee_State,Payee_Zip4,Expn_Date,Amount,Cum_YTD,Expn_ChkNo,Expn_Code,Expn_Dscr,Agent_NamL,Agent_NamF,Agent_NamT,Agent_NamS,Cmte_ID,Tres_NamL,Tres_NamF,Tres_NamT,Tres_NamS,Tres_Adr1,Tres_Adr2,Tres_City,Tres_ST,Tres_ZIP4,Cand_NamL,Cand_NamF,Cand_NamT,Cand_NamS,Office_Cd,Offic_Dscr,Juris_Cd,Juris_Dscr,Dist_No,Off_S_H_Cd,Bal_Name,Bal_Num,Bal_Juris,Sup_Opp_Cd,Memo_Code,Memo_RefNo,BakRef_TID,G_From_E_F,XRef_SchNm,XRef_Match
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,EXPN,E,VN7VW9Q7XK5,OTH,The Print Shop,,,,,,,,,,300.00,,,LIT,Campaign Materials,,,,,,,,,,,,,,,Johnson,Michael,Mr.,,,,,,,,,,,S,,,,,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,EXPN,E,VN7VW9Q7XM3,OTH,The Print Shop,,,,,,,,,,200.00,,,LIT,Campaign Materials,,,,,,,,,,,,,,,Johnson,Michael,Mr.,,,,,,,,,,,S,,,,,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,EXPN,E,VN7VW9Q7YF6,OTH,NGP Van Inc,,,,,,,,,,150.00,,,WEB,Campaign Internet Website and Database Platform,,,,,,,,,,,,,,,Johnson,Michael,Mr.,,,,,,,,,,,S,,,,,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,EXPN,E,VN7VW9Q7YG4,OTH,NGP Van Inc,,,,,,,,,,150.00,,,WEB,Campaign Internet Website and Database Platform,,,,,,,,,,,,,,,Johnson,Michael,Mr.,,,,,,,,,,,S,,,,,,
COAK-1536,Committee to Elect Michael V. Johnson City Council 2014,000,CAO,01/31/2014,07/01/2013,12/31/2013,,,,EXPN,E,VN7VW9Q7XN0,OTH,The Print Shop,,,,,,,,,,40.00,,,LIT,Campaign Materials,,,,,,,,,,,,,,,Johnson,Michael,Mr.,,,,,,,,,,,S,,,,,,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,EXPN,E,61wzjwcNv32l,OTH,The Next Generation,,,,,,Oakland,CA,94612,07/08/2013,1000.00,3000.00,,CNS,,,,,,,,,,,,,,,,Parker,Barbara,,,CAT,,CIT,City of Oakland,,,,,,S,,,,,,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,EXPN,E,5VQ3xWL2b72g,OTH,The Next Generation,,,,,,Oakland,CA,94612,09/12/2013,1000.00,3000.00,,CNS,,,,,,,,,,,,,,,,Parker,Barbara,,,CAT,,CIT,City of Oakland,,,,,,S,,,,,,
1342185,Barbara Parker for Oakland City Attorney 2012,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,EXPN,E,8ROlFbXvVPoG,OTH,The Next Generation,,,,,,Oakland,CA,94612,10/01/2013,1000.00,3000.00,,CNS,,,,,,,,,,,,,,,,Parker,Barbara,,,CAT,,CIT,City of Oakland,,,,,,S,,,,,,
1352921,Barbara Parker City Attorney Officeholder Account,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,EXPN,E,hKQemMUs1qkV,OTH,Boys and Girls Club,,,,,,Oakland,CA,94607,12/06/2013,200.00,200.00,,FND,75th year gala celebration contribution.,,,,,,,,,,,,,,,Parker,Barbara,,,CAT,City Attorney - City of Oakland,CIT,City of Oakland,0,,,,,S,,,,,,
1352921,Barbara Parker City Attorney Officeholder Account,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,EXPN,E,nUnsutkhLzgS,OTH,"Chabot Space and Science Center, Inc.",,,,,,Oakland,CA,94619,11/01/2013,1000.00,1000.00,,FND,,,,,,,,,,,,,,,,Parker,Barbara,,,CAT,City Attorney - City of Oakland,CIT,City of Oakland,0,,,,,S,,,,,,
1352921,Barbara Parker City Attorney Officeholder Account,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,EXPN,E,wNVkDj9EKqzV,OTH,Equal Justice Society,,,,,,Oakland,CA,94612,07/08/2013,500.00,500.00,,FND,,,,,,,,,,,,,,,,Parker,Barbara,,,CAT,City Attorney - City of Oakland,CIT,City of Oakland,0,,,,,S,,,,,,
1352921,Barbara Parker City Attorney Officeholder Account,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,EXPN,E,OGSROk8KtuD8,OTH,Family Bridges,,,,,,Oakland,CA,94607,07/08/2013,100.00,100.00,,FND,,,,,,,,,,,,,,,,Parker,Barbara,,,CAT,City Attorney - City of Oakland,CIT,City of Oakland,0,,,,,S,,,,,,
1352921,Barbara Parker City Attorney Officeholder Account,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,EXPN,E,K8FzsFGQynmE,IND,Katz,Alex,,,,,Oakland,CA,94608,10/01/2013,130.00,130.00,,OFC,Reimbursement for Rockridge Out & About Festival booth for Office of City Attorney.,,,,,,,,,,,,,,,Parker,Barbara,,,CAT,City Attorney - City of Oakland,CIT,City of Oakland,0,,,,,S,,,,,,
1352921,Barbara Parker City Attorney Officeholder Account,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,EXPN,E,EFHKCTdUbFw7,OTH,"Martin Luther King Jr., Freedom Center",,,,,,Oakland,CA,94606,11/11/2013,266.78,266.78,,CVC,,,,,,,,,,,,,,,,Parker,Barbara,,,CAT,City Attorney - City of Oakland,CIT,City of Oakland,0,,,,,S,,,,,,
1352921,Barbara Parker City Attorney Officeholder Account,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,EXPN,E,nc4KTB7D5STD,OTH,MISSSEY,,,,,,Oakland,CA,94612,07/08/2013,130.00,130.00,,FND,,,,,,,,,,,,,,,,Parker,Barbara,,,CAT,City Attorney - City of Oakland,CIT,City of Oakland,0,,,,,S,,,,,,
1352921,Barbara Parker City Attorney Officeholder Account,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,EXPN,E,GDJTpHF1Tp4Y,OTH,Pho 84,,,,,,Oakland,CA,94612,11/10/2013,100.02,100.02,,MTG,Lunch Celebrating Neighborhood Corp record judgment in immigration fraud case.,,,,,,,,,,,,,,,Parker,Barbara,,,CAT,City Attorney - City of Oakland,CIT,City of Oakland,0,,,,,S,,,,,,
1352921,Barbara Parker City Attorney Officeholder Account,000,CTL,01/31/2014,07/01/2013,12/31/2013,,,,EXPN,E,NUd9ybgFnS5h,OTH,Youth Uprising,,,,,,Oakland,CA,94605,12/12/2013,514.80,514.80,,CVC,Gun Buy Back Initiative Donation,,,,,,,,,,,,,,,Parker,Barbara,,,CAT,City Attorney - City of Oakland,CIT,City of Oakland,0,,,,,S,,,,,,
1342416,Committee to Elect Lynette Gibson-McElhaney for Council 2012,000,CTL,01/31/2014,01/01/2013,12/31/2013,,,,EXPN,E,F2PSMwQOs1JT,OTH,Mail Chimp,,,,,,Atlanta,GA,30318,01/02/2013,50.00,540.00,,WEB,Monthly newsletter subscription,,,,,,,,,,,,,,,Gibson McElhaney,Lynette,,,CCM,City Council,CIT,District 3,3,,,,,S,,,,,,
1342416,Committee to Elect Lynette Gibson-McElhaney for Council 2012,000,CTL,01/31/2014,01/01/2013,12/31/2013,,,,EXPN,E,zkRS7AtTinoD,OTH,In and Out Printing,,,,,,San Leandro,CA,94577,01/04/2013,212.55,212.55,,CMP,Remit Envelops,,,,,,,,,,,,,,,Gibson McElhaney,Lynette,,,CCM,City Council,CIT,District 3,3,,,,,S,,,,,,
1342416,Committee to Elect Lynette Gibson-McElhaney for Council 2012,000,CTL,01/31/2014,01/01/2013,12/31/2013,,,,EXPN,E,fMegAV3diHcV,OTH,Krishna Copy,,,,,,Berkeley,CA,94704,01/04/2013,118.54,309.29,,MTG,Programs for inauguration service,,,,,,,,,,,,,,,Gibson McElhaney,Lynette,,,CCM,City Council,CIT,District 3,3,,,,,S,,,,,,
1342416,Committee to Elect Lynette Gibson-McElhaney for Council 2012,000,CTL,01/31/2014,01/01/2013,12/31/2013,,,,EXPN,E,OYhKT7Lq83M1,OTH,Evergreen Missionary Baptist Church,,,,,,Oakland,CA,94609,01/05/2013,275.00,275.00,,MTG,"Use of church, sound tech, janitorial and kitchen aide",,,,,,,,,,,,,,,Gibson McElhaney,Lynette,,,CCM,City Council,CIT,District 3,3,,,,,S,,,,,,
1342416,Committee to Elect Lynette Gibson-McElhaney for Council 2012,000,CTL,01/31/2014,01/01/2013,12/31/2013,,,,EXPN,E,55EonrpN3mKj,IND,Flemming,Curtis,,,,,oakland,CA,94609,01/05/2013,500.00,500.00,,PRT,News paper ad for inauguration service,,,,,,,,,,,,,,,Gibson McElhaney,Lynette,,,CCM,City Council,CIT,District 3,3,,,,,S,,,,,,
1342416,Committee to Elect Lynette Gibson-McElhaney for Council 2012,000,CTL,01/31/2014,01/01/2013,12/31/2013,,,,EXPN,E,QIkKyPmZ4hN9,OTH,Smart and Final,,,,,,Oakland,CA,94612,01/05/2013,51.15,652.45,,MTG,Food for Inaugural service,,,,,,,,,,,,,,,Gibson McElhaney,Lynette,,,CCM,City Council,CIT,District 3,3,,,,,S,,,,,,
1342416,Committee to Elect Lynette Gibson-McElhaney for Council 2012,000,CTL,01/31/2014,01/01/2013,12/31/2013,,,,EXPN,E,jLom7mm2s9U9,IND,Cook,Brigitte,,,,,Oakland,CA,94608,01/06/2013,111.40,1511.40,,MTG,Reimbursement for items purchased for Inauguration event,,,,,,,,,,,,,,,Gibson McElhaney,Lynette,,,CCM,City Council,CIT,District 3,3,,,,,S,,,,,,
1342416,Committee to Elect Lynette Gibson-McElhaney for Council 2012,000,CTL,01/31/2014,01/01/2013,12/31/2013,,,,EXPN,E,VfomsYikLfQZ,OTH,Cerruti Cellars,,,,,,Oakland,CA,94607,01/07/2013,150.00,150.00,,FND,Post Inauguration celebration,,,,,,,,,,,,,,,Gibson McElhaney,Lynette,,,CCM,City Council,CIT,District 3,3,,,,,S,,,,,,
1342416,Committee to Elect Lynette Gibson-McElhaney for Council 2012,000,CTL,01/31/2014,01/01/2013,12/31/2013,,,,EXPN,E,5Vlc3jJpAAE4,OTH,Attitudinal Healing Connection,,,,,,Oakland,CA,94608,01/10/2013,500.00,800.00,,CVC,Donation for annual Martin Luther King Jr. community event,,,,,,,,,,,,,,,Gibson McElhaney,Lynette,,,CCM,City Council,CIT,District 3,3,,,,,S,,,,,,
1342416,Committee to Elect Lynette Gibson-McElhaney for Council 2012,000,CTL,01/31/2014,01/01/2013,12/31/2013,,,,EXPN,E,lyFkOUV4OL3v,OTH,League of California Cities,,,,,,Sacramento,CA,95814,01/10/2013,550.00,550.00,,MTG,Training meeting for newly elected city and state officials,,,,,,,,,,,,,,,Gibson McElhaney,Lynette,,,CCM,City Council,CIT,District 3,3,,,,,S,,,,,,
1342416,Committee to Elect Lynette Gibson-McElhaney for Council 2012,000,CTL,01/31/2014,01/01/2013,12/31/2013,,,,EXPN,E,Pxe9nulngr3R,IND,Clifford,Tom,,,,,Oakland,CA,94609,01/15/2013,5000.00,10000.00,,CNS,Campaign consultant,,,,,,,,,,,,,,,Gibson McElhaney,Lynette,,,CCM,City Council,CIT,District 3,3,,,,,S,,,,,,
1342416,Committee to Elect Lynette Gibson-McElhaney for Council 2012,000,CTL,01/31/2014,01/01/2013,12/31/2013,,,,EXPN,E,gXD7Ng3lLmPh,OTH,Embassy Suites Hotel,,,,,,Sacramento,CA,95814,01/17/2013,461.90,461.90,,TRC,Attendance at mandatory training in State capital,,,,,,,,,,,,,,,Gibson McElhaney,Lynette,,,CCM,City Council,CIT,District 3,3,,,,,S,,,,,,
1342416,Committee to Elect Lynette Gibson-McElhaney for Council 2012,000,CTL,01/31/2014,01/01/2013,12/31/2013,,,,EXPN,E,JGTdeCGsW9YW,IND,Williams,maurice,,,,,Oakland,CA,94612,01/18/2013,275.00,275.00,,LIT,Designs plus late fee,,,,,,,,,,,,,,,Gibson McElhaney,Lynette,,,CCM,City Council,CIT,District 3,3,,,,,S,,,,,,
1342416,Committee to Elect Lynette Gibson-McElhaney for Council 2012,000,CTL,01/31/2014,01/01/2013,12/31/2013,,,,EXPN,E,c2F3bTW473oX,OTH,Smart and Final,,,,,,Oakland,CA,94612,01/21/2013,128.77,652.45,,MTG,Supplies for meeting,,,,,,,,,,,,,,,Gibson McElhaney,Lynette,,,CCM,City Council,CIT,District 3,3,,,,,S,,,,,,
1342416,Committee to Elect Lynette Gibson-McElhaney for Council 2012,000,CTL,01/31/2014,01/01/2013,12/31/2013,,,,EXPN,E,A4ZTNDMiXqqZ,OTH,Mail Chimp,,,,,,Atlanta,GA,30318,02/04/2013,30.00,540.00,,WEB,Web hosting for monthly newsletter,,,,,,,,,,,,,,,Gibson McElhaney,Lynette,,,CCM,City Council,CIT,District 3,3,,,,,S,,,,,,
1342416,Committee to Elect Lynette Gibson-McElhaney for Council 2012,000,CTL,01/31/2014,01/01/2013,12/31/2013,,,,EXPN,E,44PqjPGoWdis,OTH,Autumn Press,,,,,,Berkeley,CA,94710,02/05/2013,2750.25,2750.25,,LIT,Literature and mailing,,,,,,,,,,,,,,,Gibson McElhaney,Lynette,,,CCM,City Council,CIT,District 3,3,,,,,S,,,,,,
1342416,Committee to Elect Lynette Gibson-McElhaney for Council 2012,000,CTL,01/31/2014,01/01/2013,12/31/2013,,,,EXPN,E,soaiO5Ayecxw,IND,Farmer,Casey,,,,,Oakland,CA,94607,02/05/2013,3500.00,3500.00,,CNS,Campaign manager,,,,,,,,,,,,,,,Gibson McElhaney,Lynette,,,CCM,City Council,CIT,District 3,3,,,,,S,,,,,,
1342416,Committee to Elect Lynette Gibson-McElhaney for Council 2012,000,CTL,01/31/2014,01/01/2013,12/31/2013,,,,EXPN,E,57Fe2ojQsSDS,OTH,BevMo,,,,,,Oakland,CA,94607,02/14/2013,118.23,118.23,,MTG,Staff team building,,,,,,,,,,,,,,,Gibson McElhaney,Lynette,,,CCM,City Council,CIT,District 3,3,,,,,S,,,,,,
1342416,Committee to Elect Lynette Gibson-McElhaney for Council 2012,000,CTL,01/31/2014,01/01/2013,12/31/2013,,,,EXPN,E,zLADzqsAzb3S,OTH,Mail Chimp,,,,,,Atlanta,GA,30318,03/04/2013,30.00,540.00,,WEB,Web hosting for monthly newsletter,,,,,,,,,,,,,,,Gibson McElhaney,Lynette,,,CCM,City Council,CIT,District 3,3,,,,,S,,,,,,
1342416,Committee to Elect Lynette Gibson-McElhaney for Council 2012,000,CTL,01/31/2014,01/01/2013,12/31/2013,,,,EXPN,E,fGAiEXMMDxfZ,OTH,Smart and Final,,,,,,Oakland,CA,94612,03/09/2013,44.56,652.45,,MTG,Food for Public Safety Town Hall Mtg,,,,,,,,,,,,,,,Gibson McElhaney,Lynette,,,CCM,City Council,CIT,District 3,3,,,,,S,,,,,,
1342416,Committee to Elect Lynette Gibson-McElhaney for Council 2012,000,CTL,01/31/2014,01/01/2013,12/31/2013,,,,EXPN,E,cZfUFeYfkryR,OTH,United States Post Office,,,,,,Oakland,CA,94612,03/12/2013,106.10,106.10,,OFC,Post office box,,,,,,,,,,,,,,,Gibson McElhaney,Lynette,,,CCM,City Council,CIT,District 3,3,,,,,S,,,,,,
1342416,Committee to Elect Lynette Gibson-McElhaney for Council 2012,000,CTL,01/31/2014,01/01/2013,12/31/2013,,,,EXPN,E,TcavvP1oYyJU,IND,Clifford,Tom,,,,,Oakland,CA,94609,03/16/2013,5000.00,10000.00,,CNS,Campaign consultant,,,,,,,,,,,,,,,Gibson McElhaney,Lynette,,,CCM,City Council,CIT,District 3,3,,,,,S,,,,,,
1342416,Committee to Elect Lynette Gibson-McElhaney for Council 2012,000,CTL,01/31/2014,01/01/2013,12/31/2013,,,,EXPN,E,9xeZ98dowwyL,OTH,Mail Chimp,,,,,,Atlanta,GA,30318,04/02/2013,30.00,540.00,,WEB,Web hosting for monthly newsletter,,,,,,,,,,,,,,,Gibson McElhaney,Lynette,,,CCM,City Council,CIT,District 3,3,,,,,S,,,,,,
1342416,Committee to Elect Lynette Gibson-McElhaney for Council 2012,000,CTL,01/31/2014,01/01/2013,12/31/2013,,,,EXPN,E,zYHGrhclUdyW,OTH,National Women's Political Caucus of Alameda North,,,,,,Oakland,CA,94601,04/15/2013,150.00,150.00,,FND,Susan B. Anthony Women of the Year Celebration,,,,,,,,,,,,,,,Gibson McElhaney,Lynette,,,CCM,City Council,CIT,District 3,3,,,,,S,,,,,,
1342416,Committee to Elect Lynette Gibson-McElhaney for Council 2012,000,CTL,01/31/2014,01/01/2013,12/31/2013,,,,EXPN,E,Dcbks6x5BEc9,OTH,League of Women Voters,,,,,,Oakland,CA,94612,05/01/2013,100.00,100.00,,FND,LWVO Luncheon,,,,,,,,,,,,,,,Gibson McElhaney,Lynette,,,CCM,City Council,CIT,District 3,3,,,,,S,,,,,,
1342416,Committee to Elect Lynette Gibson-McElhaney for Council 2012,000,CTL,01/31/2014,01/01/2013,12/31/2013,,,,EXPN,E,8bDnWWjyZf8v,OTH,Geoffrey's Inner Circle,,,,,,Oakland,CA,94612,05/02/2013,200.00,200.00,,MTG,Quarterly Meeting with Faith Leaders,,,,,,,,,,,,,,,Gibson McElhaney,Lynette,,,CCM,City Council,CIT,District 3,3,,,,,S,,,,,,
1342416,Committee to Elect Lynette Gibson-McElhaney for Council 2012,000,CTL,01/31/2014,01/01/2013,12/31/2013,,,,EXPN,E,vDbmiLo86EwP,OTH,Mail Chimp,,,,,,Atlanta,GA,30318,05/02/2013,50.00,540.00,,WEB,Web hosting for monthly newsletter,,,,,,,,,,,,,,,Gibson McElhaney,Lynette,,,CCM,City Council,CIT,District 3,3,,,,,S,,,,,,
1342416,Committee to Elect Lynette Gibson-McElhaney for Council 2012,000,CTL,01/31/2014,01/01/2013,12/31/2013,,,,EXPN,E,LTpTMKGJsE9K,OTH,Fountain Cafe,,,,,,Oakland,CA,94612,05/31/2013,130.69,130.69,,MTG,Meal for staff meeting,,,,,,,,,,,,,,,Gibson McElhaney,Lynette,,,CCM,City Council,CIT,District 3,3,,,,,S,,,,,,
1342416,Committee to Elect Lynette Gibson-McElhaney for Council 2012,000,CTL,01/31/2014,01/01/2013,12/31/2013,,,,EXPN,E,xumGRlBlGLfN,OTH,Wells Fargo Bank,,,,,,Portland,OR,97728,05/31/2013,14.00,190.00,,OFC,Monthly service fees,,,,,,,,,,,,,,,Gibson McElhaney,Lynette,,,CCM,City Council,CIT,District 3,3,,,,,S,,,,,,
1342416,Committee to Elect Lynette Gibson-McElhaney for Council 2012,000,CTL,01/31/2014,01/01/2013,12/31/2013,,,,EXPN,E,uFd6CpQJ35N4,OTH,Mail Chimp,,,,,,Atlanta,GA,30318,06/03/2013,50.00,540.00,,WEB,Web hosting for monthly newsletter,,,,,,,,,,,,,,,Gibson McElhaney,Lynette,,,CCM,City Council,CIT,District 3,3,,,,,S,,,,,,
1342416,Committee to Elect Lynette Gibson-McElhaney for Council 2012,000,CTL,01/31/2014,01/01/2013,12/31/2013,,,,EXPN,E,vWqpwUK4DBv3,OTH,Krishna Copy,,,,,,Berkeley,CA,94704,06/08/2013,190.75,309.29,,OFC,Informational brochures for Oaklavia,,,,,,,,,,,,,,,Gibson McElhaney,Lynette,,,CCM,City Council,CIT,District 3,3,,,,,S,,,,,,
1342416,Committee to Elect Lynette Gibson-McElhaney for Council 2012,000,CTL,01/31/2014,01/01/2013,12/31/2013,,,,EXPN,E,odTqvbhmorPw,OTH,Wells Fargo Bank,,,,,,Portland,OR,97728,06/28/2013,14.00,190.00,,OFC,Monthly service fees,,,,,,,,,,,,,,,Gibson McElhaney,Lynette,,,CCM,City Council,CIT,District 3,3,,,,,S,,,,,,
1342416,Committee to Elect Lynette Gibson-McElhaney for Council 2012,000,CTL,01/31/2014,01/01/2013,12/31/2013,,,,EXPN,E,hV6WFyMtcvU7,OTH,Mail Chimp,,,,,,Atlanta,GA,30318,07/02/2013,50.00,540.00,,WEB,Monthly subscription,,,,,,,,,,,,,,,Gibson McElhaney,Lynette,,,CCM,City Council,CIT,District 3,3,,,,,S,,,,,,
1342416,Committee to Elect Lynette Gibson-McElhaney for Council 2012,000,CTL,01/31/2014,01/01/2013,12/31/2013,,,,EXPN,E,POWOdZEk48jp,OTH,Smart and Final,,,,,,Oakland,CA,94612,07/12/2013,311.80,652.45,,CVC,Donation of food to D&N Annual Block Party,,,,,,,,,,,,,,,Gibson McElhaney,Lynette,,,CCM,City Council,CIT,District 3,3,,,,,S,,,,,,
1342416,Committee to Elect Lynette Gibson-McElhaney for Council 2012,000,CTL,01/31/2014,01/01/2013,12/31/2013,,,,EXPN,E,CKEdb3N8QvOU,OTH,Wells Fargo Bank,,,,,,Portland,OR,97728,07/30/2013,14.00,190.00,,OFC,Monthly service fees,,,,,,,,,,,,,,,Gibson McElhaney,Lynette,,,CCM,City Council,CIT,District 3,3,,,,,S,,,,,,
1342416,Committee to Elect Lynette Gibson-McElhaney for Council 2012,000,CTL,01/31/2014,01/01/2013,12/31/2013,,,,EXPN,E,E7czlQdJzZbm,IND,Cook,Brigitte,,,,,Oakland,CA,94608,07/31/2013,1400.00,1511.40,,CNS,Payment for service as assistant treasurer during campaign,,,,,,,,,,,,,,,Gibson McElhaney,Lynette,,,CCM,City Council,CIT,District 3,3,,,,,S,,,,,,
1342416,Committee to Elect Lynette Gibson-McElhaney for Council 2012,000,CTL,01/31/2014,01/01/2013,12/31/2013,,,,EXPN,E,uflvdXWZVuTU,OTH,Mail Chimp,,,,,,Atlanta,GA,30318,08/02/2013,50.00,540.00,,WEB,Monthly subscription,,,,,,,,,,,,,,,Gibson McElhaney,Lynette,,,CCM,City Council,CIT,District 3,3,,,,,S,,,,,,
1342416,Committee to Elect Lynette Gibson-McElhaney for Council 2012,000,CTL,01/31/2014,01/01/2013,12/31/2013,,,,EXPN,E,xzeObNI6lbBu,OTH,Smart and Final,,,,,,Oakland,CA,94612,08/04/2013,5.98,652.45,,MTG,Table covers,,,,,,,,,,,,,,,Gibson McElhaney,Lynette,,,CCM,City Council,CIT,District 3,3,,,,,S,,,,,,
